Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jan Morforth,Canada,70% Dark Bites,2024-02-14,6578.55,312
Kelci Walkden,Australia,Milk Bars,2024-02-24,8975.44,137
Dennison Crosswaite,India,Orange Choco,2024-03-18,852.29,123
Husein Augar,UK,Eclairs,2024-08-30,1955.2,250
Gigi Bohling,USA,Peanut Butter Cubes,2024-05-09,323.29,72
Wilone O'Kielt,USA,Smooth Sliky Salty,2024-01-18,542.39,86
Curtice Advani,India,White Choc,2024-07-04,7666.62,347
Oby Sorrel,New Zealand,Spicy Special Slims,2024-06-03,1826.32,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,2024-02-23,11510.68,30
Dotty Strutley,New Zealand,99% Dark & Pure,2024-05-09,12263.85,223
Kelci Walkden,India,70% Dark Bites,2024-06-06,3878.6,108
Kelci Walkden,India,Drinking Coco,2024-07-04,8328.52,238
Brien Boise,New Zealand,Drinking Coco,2024-06-06,1666.46,98
Dotty Strutley,Australia,Almond Choco,2024-05-13,1754.11,95
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2024-01-31,2390.7,274
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2024-06-30,8546.72,41
Barr Faughny,Canada,Manuka Honey Choco,2024-08-25,4115.57,274
Gigi Bohling,New Zealand,Smooth Sliky Salty,2024-01-10,787.38,95
Brien Boise,USA,Manuka Honey Choco,2024-08-22,2095.78,8
Roddy Speechley,New Zealand,85% Dark Bars,2024-04-14,5220.8,267
Oby Sorrel,UK,Smooth Sliky Salty,2024-05-31,11264.45,340
Oby Sorrel,UK,Raspberry Choco,2024-04-08,5477.33,341
Roddy Speechley,USA,Drinking Coco,2024-02-21,3389.0,160
Andria Kimpton,Australia,Manuka Honey Choco,2024-03-30,11559.52,413
Mallorie Waber,India,Raspberry Choco,2024-03-02,1676.82,2
Jehu Rudeforth,USA,Orange Choco,2024-07-28,437.48,174
Kaine Padly,New Zealand,70% Dark Bites,2024-03-24,8487.63,40
Curtice Advani,Australia,After Nines,2024-08-11,71.99,101
Husein Augar,UK,Almond Choco,2024-05-17,9863.62,167
Kaine Padly,Canada,Choco Coated Almonds,2024-05-18,3468.53,166
Roddy Speechley,UK,Peanut Butter Cubes,2024-08-17,6770.35,173
Ches Bonnell,New Zealand,Eclairs,2024-04-04,564.14,50
Brien Boise,India,85% Dark Bars,2024-08-09,21044.07,210
Brien Boise,New Zealand,Organic Choco Syrup,2024-01-17,677.38,327
Andria Kimpton,Canada,White Choc,2024-02-14,4368.01,29
Gigi Bohling,New Zealand,Orange Choco,2024-05-16,9866.2,306
Ches Bonnell,Canada,Smooth Sliky Salty,2024-03-16,10723.86,125
Husein Augar,Canada,70% Dark Bites,2024-01-31,5443.42,284
Barr Faughny,Canada,Organic Choco Syrup,2024-03-10,1312.35,200
Oby Sorrel,UK,Organic Choco Syrup,2024-06-30,8471.68,162
Van Tuxwell,New Zealand,Eclairs,2024-03-01,5774.6,178
Mallorie Waber,UK,Drinking Coco,2024-05-27,3780.02,97
Oby Sorrel,UK,Milk Bars,2024-07-11,6831.03,243
Karlen McCaffrey,New Zealand,Mint Chip Choco,2024-03-02,4834.51,63
Jehu Rudeforth,USA,Raspberry Choco,2024-03-04,8119.65,143
Kelci Walkden,UK,85% Dark Bars,2024-06-23,4811.88,242
Kelci Walkden,USA,Almond Choco,2024-01-27,5930.01,252
Marney O'Breen,Canada,Orange Choco,2024-01-14,3040.05,426
Dennison Crosswaite,India,Fruit & Nut Bars,2024-07-29,1126.87,23
Brien Boise,Canada,Smooth Sliky Salty,2024-05-13,6051.65,490
Barr Faughny,Canada,Baker's Choco Chips,2024-02-03,12279.35,162
Brien Boise,India,Smooth Sliky Salty,2024-05-27,7091.66,28
Jan Morforth,Australia,Drinking Coco,2024-02-18,3160.97,25
Brien Boise,India,Spicy Special Slims,2024-01-28,1408.28,35
Van Tuxwell,UK,Eclairs,2024-06-29,5776.61,114
Wilone O'Kielt,India,Caramel Stuffed Bars,2024-01-13,4890.59,274
Jehu Rudeforth,UK,After Nines,2024-06-27,2048.13,172
Barr Faughny,Canada,White Choc,2024-03-29,4590.46,1
Gunar Cockshoot,India,Organic Choco Syrup,2024-06-03,8665.99,162
Mallorie Waber,Canada,Smooth Sliky Salty,2024-03-21,2202.46,97
Mallorie Waber,India,Eclairs,2024-04-12,11720.11,48
Rafaelita Blaksland,Australia,Raspberry Choco,2024-01-19,7884.86,266
Karlen McCaffrey,UK,50% Dark Bites,2024-04-06,3857.88,303
Kaine Padly,Australia,50% Dark Bites,2024-08-02,10123.96,84
Gigi Bohling,Australia,Eclairs,2024-04-12,8170.88,137
Oby Sorrel,India,Drinking Coco,2024-07-21,19390.61,141
Van Tuxwell,New Zealand,Baker's Choco Chips,2024-03-22,10197.43,24
Husein Augar,India,Peanut Butter Cubes,2024-05-09,5188.18,5
Andria Kimpton,Australia,Baker's Choco Chips,2024-08-09,350.27,117
Madelene Upcott,Canada,Choco Coated Almonds,2024-07-20,3766.32,300
Brien Boise,India,70% Dark Bites,2024-04-14,4888.37,435
Jehu Rudeforth,Canada,White Choc,2024-01-25,5230.36,142
Andria Kimpton,Australia,Almond Choco,2024-04-25,3790.18,168
Dotty Strutley,Canada,After Nines,2024-01-17,302.18,233
Karlen McCaffrey,USA,Eclairs,2024-08-15,1017.17,123
Karlen McCaffrey,Canada,Fruit & Nut Bars,2024-06-02,241.36,17
Gunar Cockshoot,USA,85% Dark Bars,2024-06-30,8347.3,138
Dotty Strutley,New Zealand,Raspberry Choco,2024-02-10,6291.74,88
Marney O'Breen,Canada,Caramel Stuffed Bars,2024-02-23,1543.77,674
Dennison Crosswaite,India,Organic Choco Syrup,2024-01-27,9744.5,225
Camilla Castle,UK,Mint Chip Choco,2024-05-26,5414.75,325
Brien Boise,USA,70% Dark Bites,2024-04-14,1898.07,22
Madelene Upcott,Australia,99% Dark & Pure,2024-08-01,4911.08,163
Mallorie Waber,Australia,Eclairs,2024-08-22,11293.17,219
Marney O'Breen,India,99% Dark & Pure,2024-07-22,12398.37,161
Husein Augar,USA,Fruit & Nut Bars,2024-04-28,1508.57,28
Kelci Walkden,Australia,Almond Choco,2024-05-30,5869.09,354
Ches Bonnell,USA,Milk Bars,2024-07-21,2770.47,159
Jan Morforth,UK,Caramel Stuffed Bars,2024-08-02,3541.73,494
Brien Boise,New Zealand,70% Dark Bites,2024-06-15,7624.41,139
Oby Sorrel,India,85% Dark Bars,2024-07-05,9928.42,130
Kaine Padly,New Zealand,Smooth Sliky Salty,2024-04-12,7.67,548
Gigi Bohling,Australia,70% Dark Bites,2024-08-18,1624.86,103
Jan Morforth,UK,50% Dark Bites,2024-01-12,6301.56,287
Gunar Cockshoot,Canada,White Choc,2024-08-11,8578.4,15
Jehu Rudeforth,Australia,Spicy Special Slims,2024-01-13,5573.57,372
Husein Augar,UK,Baker's Choco Chips,2024-04-29,3465.68,133
Rafaelita Blaksland,New Zealand,After Nines,2024-07-07,1245.91,90
Madelene Upcott,New Zealand,Mint Chip Choco,2024-03-11,8888.61,4
Madelene Upcott,UK,70% Dark Bites,2024-02-16,5931.82,243
Barr Faughny,Australia,Organic Choco Syrup,2024-01-07,2620.66,34
Beverie Moffet,New Zealand,Drinking Coco,2024-01-12,1284.37,560
Beverie Moffet,India,Eclairs,2024-06-09,11033.61,155
Andria Kimpton,India,Eclairs,2024-05-16,2413.05,82
Gigi Bohling,UK,85% Dark Bars,2024-06-23,13136.08,90
Roddy Speechley,UK,Raspberry Choco,2024-01-28,14297.82,211
Dotty Strutley,UK,Mint Chip Choco,2024-07-14,2837.65,212
Barr Faughny,Canada,Drinking Coco,2024-04-18,7496.03,259
Oby Sorrel,USA,Milk Bars,2024-06-14,1815.29,79
Oby Sorrel,UK,Orange Choco,2024-04-15,8250.03,228
Curtice Advani,Canada,Peanut Butter Cubes,2024-05-19,5605.82,64
Gigi Bohling,India,White Choc,2024-04-13,1563.39,179
Husein Augar,Canada,Choco Coated Almonds,2024-08-15,3997.02,411
Wilone O'Kielt,India,Choco Coated Almonds,2024-08-22,3284.22,230
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2024-04-22,4609.67,58
Kaine Padly,UK,Choco Coated Almonds,2024-08-03,9412.06,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2024-01-04,427.36,249
Kelci Walkden,Canada,After Nines,2024-01-13,19449.02,204
Van Tuxwell,Australia,Baker's Choco Chips,2024-05-11,14122.44,32
Husein Augar,New Zealand,Peanut Butter Cubes,2024-02-16,2257.14,231
Kaine Padly,UK,Caramel Stuffed Bars,2024-05-20,11334.21,72
Jehu Rudeforth,UK,Drinking Coco,2024-02-03,7865.93,436
Beverie Moffet,India,Manuka Honey Choco,2024-05-06,11462.32,172
Gunar Cockshoot,UK,Choco Coated Almonds,2024-06-30,6154.53,132
Gunar Cockshoot,UK,Smooth Sliky Salty,2024-03-22,867.5,143
Camilla Castle,Canada,Orange Choco,2024-02-17,9056.1,58
Jehu Rudeforth,UK,85% Dark Bars,2024-07-07,6569.4,66
Oby Sorrel,UK,70% Dark Bites,2024-03-16,7431.0,180
Kelci Walkden,UK,99% Dark & Pure,2024-08-12,3672.65,124
Gigi Bohling,New Zealand,After Nines,2024-01-21,6464.8,189
Oby Sorrel,Australia,50% Dark Bites,2024-05-06,813.58,163
Oby Sorrel,Canada,50% Dark Bites,2024-06-24,7301.81,134
Barr Faughny,USA,White Choc,2024-05-05,8523.42,171
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2024-03-25,3822.64,85
Curtice Advani,Australia,Caramel Stuffed Bars,2024-02-14,10219.39,139
Curtice Advani,New Zealand,85% Dark Bars,2024-05-12,5798.43,206
Barr Faughny,New Zealand,Smooth Sliky Salty,2024-01-25,4487.01,184
Ches Bonnell,UK,85% Dark Bars,2024-06-28,17237.67,13
Dennison Crosswaite,Australia,Drinking Coco,2024-07-13,7497.22,184
Roddy Speechley,USA,Milk Bars,2024-05-16,3034.06,245
Jan Morforth,India,After Nines,2024-03-14,6795.06,177
Gunar Cockshoot,USA,After Nines,2024-08-15,4273.09,280
Ches Bonnell,India,Orange Choco,2024-02-16,1412.6,278
Mallorie Waber,UK,Manuka Honey Choco,2024-06-15,9852.89,43
Barr Faughny,Australia,Raspberry Choco,2024-05-27,10744.23,105
Wilone O'Kielt,USA,Drinking Coco,2024-06-14,1213.63,101
Wilone O'Kielt,India,Eclairs,2024-02-25,4263.93,80
Wilone O'Kielt,India,After Nines,2024-08-04,13808.46,270
Kelci Walkden,India,99% Dark & Pure,2024-06-28,2411.93,248
Gunar Cockshoot,Canada,Spicy Special Slims,2024-04-05,14603.41,12
Madelene Upcott,Canada,Peanut Butter Cubes,2024-07-05,17813.77,120
Kaine Padly,New Zealand,Eclairs,2024-01-20,14346.28,48
Ches Bonnell,New Zealand,Drinking Coco,2024-02-16,10009.51,144
Curtice Advani,UK,Drinking Coco,2024-07-12,494.27,186
Kelci Walkden,India,Raspberry Choco,2024-06-16,9118.67,253
Dotty Strutley,Australia,Choco Coated Almonds,2024-04-13,1751.26,293
Kaine Padly,UK,50% Dark Bites,2024-02-21,3402.47,69
Roddy Speechley,Canada,Choco Coated Almonds,2024-05-11,6841.28,237
Ches Bonnell,India,50% Dark Bites,2024-04-15,12584.46,328
Oby Sorrel,Canada,Peanut Butter Cubes,2024-06-07,14291.3,179
Oby Sorrel,UK,White Choc,2024-06-27,1998.41,303
Barr Faughny,India,After Nines,2024-07-29,9558.06,117
Wilone O'Kielt,Canada,Smooth Sliky Salty,2024-06-02,5594.84,174
Rafaelita Blaksland,India,Mint Chip Choco,2024-01-26,16520.75,84
Rafaelita Blaksland,Canada,99% Dark & Pure,2024-03-02,5545.62,139
Van Tuxwell,Australia,70% Dark Bites,2024-01-10,8260.58,108
Beverie Moffet,USA,70% Dark Bites,2024-06-27,2636.16,110
Barr Faughny,Canada,Orange Choco,2024-06-30,8285.38,18
Roddy Speechley,Australia,85% Dark Bars,2024-07-08,4590.0,78
Oby Sorrel,India,Spicy Special Slims,2024-06-08,13189.14,95
Jan Morforth,UK,Manuka Honey Choco,2024-08-18,3768.3,212
Kaine Padly,Australia,After Nines,2024-04-08,7962.71,293
Wilone O'Kielt,Canada,Fruit & Nut Bars,2024-08-08,3665.13,191
Wilone O'Kielt,UK,Milk Bars,2024-08-26,334.81,66
Oby Sorrel,Canada,Fruit & Nut Bars,2024-01-14,2187.5,159
Dennison Crosswaite,USA,Baker's Choco Chips,2024-08-11,18481.73,295
Madelene Upcott,USA,Almond Choco,2024-05-31,11863.69,24
Van Tuxwell,New Zealand,50% Dark Bites,2024-07-11,4332.41,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2024-03-02,3653.33,327
Madelene Upcott,Australia,Raspberry Choco,2024-07-13,7023.94,89
Rafaelita Blaksland,UK,Spicy Special Slims,2024-08-03,10001.95,132
Curtice Advani,UK,Peanut Butter Cubes,2024-03-01,16460.65,171
Kelci Walkden,New Zealand,White Choc,2024-04-13,8575.27,165
Beverie Moffet,Canada,Fruit & Nut Bars,2024-02-14,12191.42,177
Mallorie Waber,India,White Choc,2024-07-26,969.15,233
Brien Boise,UK,Drinking Coco,2024-01-27,6498.96,143
Jehu Rudeforth,India,Peanut Butter Cubes,2024-04-14,33.68,487
Oby Sorrel,USA,Almond Choco,2024-05-19,7640.61,154
Husein Augar,India,Eclairs,2024-02-09,5596.93,62
Brien Boise,UK,Spicy Special Slims,2024-05-25,2639.55,59
Oby Sorrel,Australia,Manuka Honey Choco,2024-01-26,4626.87,78
Beverie Moffet,India,White Choc,2024-07-04,1900.09,297
Ches Bonnell,India,Almond Choco,2024-04-13,13315.47,72
Gigi Bohling,Australia,Smooth Sliky Salty,2024-01-25,6359.09,121
Camilla Castle,USA,85% Dark Bars,2024-04-25,2644.65,83
Camilla Castle,USA,Eclairs,2024-06-10,4879.55,427
Madelene Upcott,New Zealand,White Choc,2024-08-22,11572.5,51
Van Tuxwell,India,After Nines,2024-06-27,15626.93,225
Husein Augar,India,Orange Choco,2024-06-30,4781.14,38
Jehu Rudeforth,India,Almond Choco,2024-08-30,11793.4,101
Karlen McCaffrey,Australia,Raspberry Choco,2024-08-23,1061.03,58
Camilla Castle,New Zealand,99% Dark & Pure,2024-08-26,2499.92,44
Gigi Bohling,Australia,Orange Choco,2024-03-09,676.29,158
Kelci Walkden,UK,Drinking Coco,2024-04-20,1886.06,23
Mallorie Waber,Canada,Caramel Stuffed Bars,2024-06-10,5093.92,524
Husein Augar,Australia,Organic Choco Syrup,2024-02-08,1018.8,157
Brien Boise,Australia,White Choc,2024-08-25,5616.77,23
Dotty Strutley,India,Peanut Butter Cubes,2024-02-16,10461.82,78
Dennison Crosswaite,UK,99% Dark & Pure,2024-05-30,12841.79,26
Gigi Bohling,New Zealand,50% Dark Bites,2024-06-29,6723.42,67
Gigi Bohling,USA,Milk Bars,2024-06-16,521.35,127
Brien Boise,UK,Caramel Stuffed Bars,2024-03-04,3106.11,159
Curtice Advani,New Zealand,Peanut Butter Cubes,2024-03-15,1684.28,419
Curtice Advani,New Zealand,50% Dark Bites,2024-01-27,11226.14,84
Beverie Moffet,Canada,Drinking Coco,2024-07-05,1172.53,124
Barr Faughny,USA,Caramel Stuffed Bars,2024-03-29,3917.13,287
Mallorie Waber,Canada,Almond Choco,2024-05-12,4871.07,33
Oby Sorrel,USA,Drinking Coco,2024-03-11,9306.64,48
Brien Boise,New Zealand,Eclairs,2024-07-11,5270.33,323
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2024-08-01,14722.35,61
Gunar Cockshoot,UK,Spicy Special Slims,2024-02-16,13444.87,197
Curtice Advani,USA,After Nines,2024-04-13,14885.97,248
Oby Sorrel,India,Choco Coated Almonds,2024-02-14,53.31,371
Ches Bonnell,Australia,Peanut Butter Cubes,2024-03-14,11767.94,68
Oby Sorrel,Australia,Spicy Special Slims,2024-04-26,12897.53,25
Jehu Rudeforth,Canada,Manuka Honey Choco,2024-04-05,3867.62,214
Camilla Castle,Canada,Drinking Coco,2024-03-03,13524.05,253
Kaine Padly,USA,Spicy Special Slims,2024-06-13,2319.1,189
Marney O'Breen,New Zealand,70% Dark Bites,2024-02-14,9036.58,377
Roddy Speechley,New Zealand,99% Dark & Pure,2024-04-18,8905.53,201
Oby Sorrel,New Zealand,85% Dark Bars,2024-02-01,4040.65,423
Dotty Strutley,New Zealand,Orange Choco,2024-08-04,2204.17,145
Andria Kimpton,New Zealand,Almond Choco,2024-04-05,7037.21,172
Karlen McCaffrey,Australia,99% Dark & Pure,2024-01-26,12285.41,175
Kaine Padly,UK,After Nines,2024-01-21,21812.86,183
Kaine Padly,Canada,After Nines,2024-08-22,6707.97,187
Kaine Padly,UK,Drinking Coco,2024-01-27,2513.58,226
Rafaelita Blaksland,UK,50% Dark Bites,2024-02-16,11491.21,71
Dotty Strutley,USA,Raspberry Choco,2024-01-03,3762.58,49
Karlen McCaffrey,USA,White Choc,2024-08-24,5158.01,2
Oby Sorrel,USA,Spicy Special Slims,2024-02-07,6660.69,418
Mallorie Waber,Australia,Smooth Sliky Salty,2024-02-11,4786.05,107
Kaine Padly,Canada,Organic Choco Syrup,2024-03-29,6797.67,82
Marney O'Breen,USA,Peanut Butter Cubes,2024-06-15,782.24,348
Dennison Crosswaite,UK,Smooth Sliky Salty,2024-04-26,653.1,136
Brien Boise,Australia,Organic Choco Syrup,2024-07-15,4768.88,281
Beverie Moffet,India,Organic Choco Syrup,2024-06-23,1123.57,19
Dennison Crosswaite,Australia,Baker's Choco Chips,2024-01-11,16435.38,425
Beverie Moffet,UK,50% Dark Bites,2024-02-09,2922.18,289
Van Tuxwell,UK,Almond Choco,2024-06-06,12123.84,222
Dotty Strutley,UK,Caramel Stuffed Bars,2024-08-10,6448.87,244
Wilone O'Kielt,Australia,Smooth Sliky Salty,2024-01-04,2587.61,44
Andria Kimpton,Canada,70% Dark Bites,2024-04-08,12109.0,16
Barr Faughny,UK,Milk Bars,2024-03-02,4482.33,467
Van Tuxwell,Canada,Drinking Coco,2024-06-15,5294.88,679
Jehu Rudeforth,Australia,After Nines,2024-02-14,5512.57,46
Husein Augar,UK,After Nines,2024-07-05,3707.27,392
Barr Faughny,India,Mint Chip Choco,2024-01-12,7899.01,461
Curtice Advani,India,Mint Chip Choco,2024-03-03,9813.42,100
Jehu Rudeforth,New Zealand,Milk Bars,2024-05-18,2845.74,197
Gunar Cockshoot,India,Caramel Stuffed Bars,2024-07-28,2941.72,220
Curtice Advani,UK,Manuka Honey Choco,2024-02-07,1969.62,114
Andria Kimpton,India,Orange Choco,2024-05-30,339.64,452
Mallorie Waber,Australia,Raspberry Choco,2024-04-25,8818.17,29
Beverie Moffet,Canada,85% Dark Bars,2024-02-16,6829.86,46
Kelci Walkden,Australia,Drinking Coco,2024-05-04,1370.19,58
Van Tuxwell,Canada,70% Dark Bites,2024-06-02,7731.47,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2024-07-11,2757.16,463
Beverie Moffet,New Zealand,Spicy Special Slims,2024-06-07,70.19,63
Jan Morforth,UK,Almond Choco,2024-07-06,10817.45,151
Husein Augar,India,Raspberry Choco,2024-06-15,11595.41,153
Dotty Strutley,India,Mint Chip Choco,2024-04-14,1375.22,231
Camilla Castle,India,Drinking Coco,2024-08-08,503.52,167
Marney O'Breen,UK,Drinking Coco,2024-03-29,1135.16,27
Roddy Speechley,Australia,Organic Choco Syrup,2024-07-04,4375.45,79
Ches Bonnell,India,99% Dark & Pure,2024-02-16,536.74,102
Rafaelita Blaksland,Canada,Spicy Special Slims,2024-05-02,2702.08,164
Van Tuxwell,India,Eclairs,2024-07-21,11064.27,104
Gunar Cockshoot,Australia,99% Dark & Pure,2024-08-18,8861.83,226
Kaine Padly,USA,85% Dark Bars,2024-06-22,564.67,256
Camilla Castle,UK,Peanut Butter Cubes,2024-07-19,5267.69,120
Madelene Upcott,UK,Peanut Butter Cubes,2024-08-12,8698.47,89
Madelene Upcott,USA,Choco Coated Almonds,2024-06-07,6025.6,137
Marney O'Breen,Canada,Peanut Butter Cubes,2024-03-08,7032.54,87
Ches Bonnell,Australia,Choco Coated Almonds,2024-04-08,1572.79,176
Curtice Advani,Canada,Eclairs,2024-05-06,857.34,197
Roddy Speechley,India,Drinking Coco,2024-05-31,4899.47,11
Van Tuxwell,Australia,Mint Chip Choco,2024-01-13,2924.06,295
Dennison Crosswaite,USA,70% Dark Bites,2024-03-15,730.06,78
Andria Kimpton,Canada,Peanut Butter Cubes,2024-02-16,1348.05,332
Gigi Bohling,USA,70% Dark Bites,2024-01-14,8561.59,204
Rafaelita Blaksland,Australia,White Choc,2024-03-21,7326.91,102
Roddy Speechley,Canada,Drinking Coco,2024-05-17,8196.93,340
Camilla Castle,New Zealand,85% Dark Bars,2024-08-08,17841.92,53
Madelene Upcott,Canada,Milk Bars,2024-04-26,4285.13,87
Madelene Upcott,Australia,70% Dark Bites,2024-04-15,4196.23,256
Oby Sorrel,Canada,Eclairs,2024-05-19,6409.31,621
Dennison Crosswaite,Canada,Drinking Coco,2024-01-10,3010.07,24
Mallorie Waber,New Zealand,After Nines,2024-05-04,567.91,225
Roddy Speechley,Canada,White Choc,2024-04-05,6948.79,292
Andria Kimpton,India,After Nines,2024-01-17,1009.28,69
Roddy Speechley,India,Spicy Special Slims,2024-03-22,12049.05,180
Dotty Strutley,Australia,White Choc,2024-07-05,6969.38,102
Oby Sorrel,Canada,Orange Choco,2024-04-27,10257.74,328
Kaine Padly,Canada,Almond Choco,2024-08-12,7220.35,71
Jan Morforth,UK,Baker's Choco Chips,2024-03-11,783.35,273
Jehu Rudeforth,UK,Fruit & Nut Bars,2024-05-13,9434.44,221
Dennison Crosswaite,USA,Smooth Sliky Salty,2024-05-12,12755.99,99
Brien Boise,USA,Raspberry Choco,2024-01-12,807.26,198
Madelene Upcott,New Zealand,Milk Bars,2024-03-29,13541.21,434
Roddy Speechley,India,50% Dark Bites,2024-03-14,9976.22,12
Barr Faughny,New Zealand,99% Dark & Pure,2024-05-24,9152.72,208
Dennison Crosswaite,Canada,Organic Choco Syrup,2024-01-28,9251.37,79
Beverie Moffet,India,Almond Choco,2024-05-24,3634.26,100
Brien Boise,Australia,Peanut Butter Cubes,2024-08-19,352.51,196
Karlen McCaffrey,Australia,Spicy Special Slims,2024-05-17,5303.58,354
Jehu Rudeforth,USA,White Choc,2024-06-07,7339.32,121
Ches Bonnell,Canada,Organic Choco Syrup,2024-07-26,616.09,238
Dotty Strutley,India,Eclairs,2024-07-28,2504.62,397
Karlen McCaffrey,India,70% Dark Bites,2024-05-23,5915.87,355
